page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
67,https://immovlan.be/en/detail/investment-property/for-sale/9300/aalst/rbv35575,Aalst,9300,investmentProperty,returnBuilding,445000.0,4.0,292.0,N/A,N/A,N/A,N/A,N/A,N/A,76.0,2,N/A,Normal,1850
68,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv35136,Aalst,9300,appartment,flat,295000.0,2.0,86.0,Super equipped,0.0,1.0,7.0,N/A,N/A,N/A,2,0.0,Excellent,1969
69,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv35056,Aalst,9300,house,house,220000.0,3.0,164.0,N/A,0.0,1.0,N/A,1.0,73.0,170.0,2,N/A,To be renovated,1931
70,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv35055,Aalst,9300,house,house,298000.0,2.0,135.0,N/A,0.0,1.0,N/A,1.0,N/A,300.0,3,N/A,Normal,N/A
71,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv35049,Aalst,9300,house,house,276000.0,4.0,170.0,N/A,0.0,1.0,16.0,1.0,204.0,N/A,N/A,N/A,Normal,N/A
72,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv34593,Aalst,9300,appartment,flat,408382.0,2.0,97.0,N/A,N/A,1.0,42.0,1.0,42.0,N/A,2,N/A,New,N/A
73,https://immovlan.be/en/detail/commercial-building/for-sale/9300/aalst/rbv34450,Aalst,9300,entreprise,commerceBuilding,850000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Normal,N/A
74,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbv32003,Aalst,9300,appartment,duplex,269000.0,2.0,90.0,N/A,0.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,Excellent,N/A
75,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv31973,Aalst,9300,appartment,flat,285000.0,2.0,86.0,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,Excellent,N/A
76,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv31964,Aalst,9300,appartment,flat,239000.0,1.0,77.0,N/A,0.0,1.0,40.0,1.0,45.0,N/A,N/A,N/A,Excellent,N/A
