page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
154,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv16679,Sint-Truiden,3800,house,house,239000,3,146,,,True,17 m²,True,,65 m²,2,,Excellent,1984
155,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv15114,Sint-Truiden,3800,house,house,195000,2,134,,,False,,,,870 m²,,,,1936
156,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv13177,Sint-Truiden,3800,house,house,159000,2,190,,False,False,,,,1719 m²,,,To be renovated,1918
157,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv13025,Sint-Truiden,3800,house,house,359000,3,145,,,True,,True,,335 m²,,,,2007
158,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv02895,Sint-Truiden,3800,house,house,425000,3,241,,False,True,38 m²,True,,322 m²,3,,Normal,1985
159,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu99223,Sint-Truiden,3800,house,house,825000,4,333,,,True,,True,,275 m²,,False,,1918
160,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu95954,Sint-Truiden,3800,house,house,249000,2,182,,,False,,True,,344 m²,3,,,1940
161,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu93870,Sint-Truiden,3800,appartment,flat,259000,2,101,,,True,,,,,,,,1969
162,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu93868,Sint-Truiden,3800,appartment,flat,1599000,3,750,,,False,,,,,,,,1850
163,https://immovlan.be/en/detail/mixed-building/for-sale/3800/sint-truiden/rbu93867,Sint-Truiden,3800,house,mixedBuilding,1599000,3,750,,,False,,,,395 m²,,,,1850
164,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu91672,Sint-Truiden,3800,house,house,249000,3,200,,False,False,,True,,1067 m²,,,Normal,1950
165,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu91626,Sint-Truiden,3800,appartment,flat,215000,3,193,,,True,,,,,,,,1968
166,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu91182,Sint-Truiden,3800,house,house,320000,2,94,,,True,,True,,1178 m²,,,,1963
167,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu65932,Sint-Truiden,3800,house,house,170000,3,176,,,False,,True,,286 m²,,,,1937
168,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu84465,Sint-Truiden,3800,house,house,320000,3,252,,,False,,True,,10 m²,2,,,1964
169,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/vbd59608,Sint-Truiden,3800,house,house,330000,4,179,Partially equipped,False,True,25 m²,,,595 m²,3,False,Normal,1970
170,https://immovlan.be/en/detail/investment-property/for-sale/3800/sint-truiden/rbu80502,Sint-Truiden,3800,investmentProperty,returnBuilding,757000,4,206,,,,,,,,2,,New,
171,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu74801,Sint-Truiden,3800,appartment,flat,330000,2,131,,,True,,,,,,,,1995
172,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu73043,Sint-Truiden,3800,house,house,439000,3,321,,,True,,True,,315 m²,2,,Normal,1952
173,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu67773,Sint-Truiden,3800,house,house,200000,3,130,,,False,,,,130 m²,,,,1920
174,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu67212,Sint-Truiden,3800,house,house,389000,3,283,,,True,20 m²,True,,646 m²,3,,,1979
175,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu67199,Sint-Truiden,3800,house,house,535000,15,0,,,False,,,,408 m²,,,Excellent,1971
176,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu60591,Sint-Truiden,3800,appartment,flat,439000,1,87,,,True,,,,,,,,1960
177,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu51906,Sint-Truiden,3800,appartment,flat,300000,2,70,,,False,,,,,,,,1961
